問題文	選択肢A	選択肢B	選択肢C	選択肢D	正解	解説	Text	タグ	ファイル名
What protocol should Barry use when he wants to upload a series of files to a web-	Which term refers to the logical address of a device connected to the network or	internet?	What type of device filters network traffic in order to enhance overall security/	2? performance?	Laptop	Firewalls filter traffic in order to enhance the overall security or performance of the network, or both.	{{c1::Laptop}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-56-12.png
What protocol should Barry use when he wants to upload a series of files to a web- YX	What protocol should Barry use when he wants to upload a series of files to a web- YX	based storage service?	FTP (File Transfer Protocol)	Q SFTP (Secure File Transfer Protocol)	SMTP (Simple Mail Transfer Protocol)	SFTP is designed specifically for this purpose. A type of device typically accessed by multiple users and often intended for a YX (#9) single purpose, such as managing email or web pages, is referred to as what? 1 attempt taken conect Sere seconds	{{c1::SMTP (Simple Mail Transfer Protocol)}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-56-14.png
> Carol is browsing the Web. Which of the following ports is she probably using? Y)	A type of device typically accessed by multiple users and often intended for a (0)	? single purpose, such as managing email or web pages, is referred to as what? v	Laptop	Router	Switch	Aserver typically offers a specific service, such as hosting web pages or managing email, and is often accessed by multiple users. > Carol is browsing the Web. Which of the following ports is she probably using? Y) Cyril wants to ensure all the devices on his company's internal IT environment are mranerh: eumechranizad cs —	{{c1::Switch}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-56-17.png
> Carol is browsing the Web. Which of the following ports is she probably using? Y) 9 Vv	A type of device typically accessed by multiple users and often intended for a YX (#9)	> Carol is browsing the Web. Which of the following ports is she probably using? Y) 9 Vv	Cyril wants to ensure all the devices on his company's internal IT environment are	mranerh: eumechranizad cs —	A type of device typically accessed by multiple users and often intended for a YX (#9)	Port 80 is used for HTTP traffic, and HTTP is a Web-browsing protocol. Cyril wants to ensure all the devices on his company's internal IT environment are mranerh: eumechranizad cs —	{{c1::A type of device typically accessed by multiple users and often intended for a YX (#9)}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-56-20.png
Which of the following protocols would aid in this effort?	Cyril wants to ensure all the devices on his company's internal IT environment are	properly synchronized.	Which of the following protocols would aid in this effort?	Q NTP (Network Time Protocol)	SMTP (Simple Mail Transfer Protocol)	This is the purpose of NTP. FTP, SMTP and HTTP are incorrect; these do not serve the purpose of synchronization. Ludwig is a security analyst at Triffid, Inc. Ludwig notices network traffic that might indicate an attack designed to affect the availability of the environment.	{{c1::SMTP (Simple Mail Transfer Protocol)}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-56-23.png
Which of the following might be the attack Ludwig sees?	Ludwig is a security analyst at Triffid, Inc. Ludwig notices network traffic that	Which of the following might be the attack Ludwig sees?	An insider sabotaging the power supply	Q DDOS (distributed denial of service)	Exfiltrating stolen data	DDOS is an availability attack, often typified by recognizable network traffic; either too much traffic to be processed normally, or malformed traffic. Gary is an attacker. Gary is able to get access to the communication wire between Dauphine's machine and Linda's machine and can then surveil the traffic between > the two when they're communicating. Y) (7)	{{c1::Exfiltrating stolen data}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-56-26.png
What kind of attack is this?	Gary is an attacker. Gary is able to get access to the communication wire between	Dauphine's machine and Linda's machine and can then surveil the traffic between	> the two when they're communicating. Y) (7) Vv	What kind of attack is this?	Physical	This is a textbook example of an on-path attack, where the attackers insert themselves between communicating parties. Bert wants to add a flashlight capability to a smartphone. Bert searches the internet for a free flashlight app, and downloads it to the phone. The app allows > Bert to use the phone as a flashlight, but also steals Bert's contacts list.	{{c1::Physical}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-56-29.png
What kind of attack is this?	What kind of attack is this?	Bert wants to add a flashlight capability to a smartphone. Bert searches the	Bert to use the phone as a flashlight, but also steals Bert's contacts list. ~Y)	comect	What kind of attack is this?	This is a textbook example of a Trojan horse application. Bert has intentionally downloaded the application with the intent to get a desired service, but the app also includes a hostile component Bert is unaware of. Triffid. Inc.. has manv remote workers who use their own IT devices to process	{{c1::What kind of attack is this?}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-56-32.png
Which of the following is probably most appropriate for this specific purpose?	What kind of app is this?	Triffid, Inc., has many remote workers who use their own IT devices to process	Triffid's information. The Triffid security team wants to deploy some sort of sensor	on user devices in order to recognize and identify potential security issues. 5	LIDS (logistical intrusion-detection systems)	Host-based intrusion-detection systems are expressly designed for this purpose; each HIDS is installed on each endpoint	{{c1::LIDS (logistical intrusion-detection systems)}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-56-39.png
Which of the following is probably most appropriate for this specific purpose?	Triffid's information. The Triffid security team wants to deploy some sort of sensor	> onuser devices in order to recognize and identify potential security issues.	Which of the following is probably most appropriate for this specific purpose?	Inbound traffic from an external source seems to indicate much higher rates of	Triffid's information. The Triffid security team wants to deploy some sort of sensor	Firewalls can often identify hostile inbound traffic, and potentially counter it.	{{c1::Triffid's information. The Triffid security team wants to deploy some sort of sensor}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-56-43.png
What type of solution typically inspects outbound communications traffic to check	What tool aggregates log data from multiple sources, typically analyzes it, and	reports potential threats?	Anti-malware	SIEM/SEM/SIM solutions are typically designed specifically for this purpose.	What tool aggregates log data from multiple sources, typically analyzes it, and	SIEM/SEM/SIM solutions are typically designed specifically for this purpose.	{{c1::What tool aggregates log data from multiple sources, typically analyzes it, and}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-56-47.png
What type of solution typically inspects outbound communications traffic to check &) (2)	What type of solution typically inspects outbound communications traffic to check &) (2)	Anti-malware	DLP (data loss prevention)	Firewall	What type of solution typically inspects outbound communications traffic to check &) (2)	DLP solutions typically inspect outbound communications traffic to check for unauthorized exfiltration of sensitive/valuable	{{c1::What type of solution typically inspects outbound communications traffic to check &) (2)}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-56-51.png
Which activity is usually part of the configuration management process, but is also YX	What type of solution typically inspects outbound communications traffic to check	What type of tool is used to monitor local devices with the aim of reducing	potential threats from hostile software? ?	Anti-malware	What type of solution typically inspects outbound communications traffic to check	This is the purpose of anti-malware solutions. extremely helpful in countering potential attacks? attempt taken Comect	{{c1::What type of solution typically inspects outbound communications traffic to check}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-56-54.png
Which activity is usually part of the configuration management process, but is also (1c)	What type of tool is used to monitor local devices with the aim of reducing	? potential threats from hostile software? v	Which activity is usually part of the configuration management process, but is also (1c)	Annual budgeting	What type of tool is used to monitor local devices with the aim of reducing	Keeping systems up to date is typically part of both the configuration management process and enacting best security practices. > Which type of fire-suppression system is typically the SAFEST for humans?	{{c1::What type of tool is used to monitor local devices with the aim of reducing}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-56-57.png
Which activity is usually part of the configuration management process, but is also	Cc 0 6 &	Which activity is usually part of the configuration management process, but is also	> Which type of fire-suppression system is typically the SAFEST for humans?	Gaseous	Cc 0 6 &	Water is the safest fire-suppression system listed that is typically used.	{{c1::Cc 0 6 &}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-00.png
What is the section of the IT environment that is closest to the external world;	Which common cloud service model offers the customer the MOST control of the	Function as a Service (FaaS)	Infrastructure as a service (aaS)	Platform as a service (PaaS)	Which common cloud service model offers the customer the MOST control of the	laaS offers the customer the most control of the cloud environment, in terms of common cloud service models.	{{c1::Which common cloud service model offers the customer the MOST control of the}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-03.png
What is the section of the IT environment that is closest to the external world;	What is the section of the IT environment that is closest to the external world;	2? where we locate IT systems that communicate with the Internet? wey	DMZ is what we often call this portion of the environment the demilitarized zone.	VLAN is a way to segment portions of the internal network. MAC is the physical address of a given networked device. RBAC is an	VLAN is a way to segment portions of the internal network. MAC is the physical address of a given networked device. RBAC is an	DMZ is what we often call this portion of the environment the demilitarized zone. VLAN is a way to segment portions of the internal network. MAC is the physical address of a given networked device. RBAC is an access control model. An loT (Internet of Things) device is typically characterized by its effect on or use of which environment? v	{{c1::VLAN is a way to segment portions of the internal network. MAC is the physical address of a given networked device. RBAC is an}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-06.png
What type of device is commonly advisable to have on the perimeter between two (1c)	What is the section of the IT environment that is closest to the external world;	2? where we locate IT systems that communicate with the Internet?	An loT (Internet of Things) device is typically characterized by its effect on or use of	refrigerator, light) or by monitoring the physical environment itself (a camera, sensor, etc.).	What is the section of the IT environment that is closest to the external world;	loT devices typically have some interaction with the physical realm, either by having some physical effect (a vacuum cleaner, refrigerator, light) or by monitoring the physical environment itself (a camera, sensor, etc.).	{{c1::What is the section of the IT environment that is closest to the external world;}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-10.png
What type of device is commonly advisable to have on the perimeter between two	Cc 0 6 &	An loT (Internet of Things) device is typically characterized by its effect on or use of	What type of device is commonly advisable to have on the perimeter between two	? networks? © v	An loT (Internet of Things) device is typically characterized by its effect on or use of	Firewalls are often useful to monitor/filter traffic between two networks. > Which of the following describes when archiving is typically done? Y) B Vv conect Score seconds	{{c1::An loT (Internet of Things) device is typically characterized by its effect on or use of}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-13.png
What type of device is commonly advisable to have on the perimeter between two	Cc 0 6 &	What type of device is commonly advisable to have on the perimeter between two	networks?	> Which of the following describes when archiving is typically done?	When data is ready to be destroyed	Archiving is the action of moving data from the production environment to long-term storage. Every document owned by Triffid, Inc., whether hardcopy or electronic, has a clear, 24-point word at the top and bottom. Only three words can be used: “Sensitive”, > “Proprietary”, and “Public”.	{{c1::When data is ready to be destroyed}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-16.png
Which of the following describes when archiving is typically done? () B oe),	Which of the following describes when archiving is typically done? () B oe),	Every document owned by Triffid, Inc., whether hardcopy or electronic, has a clear,	24-point word at the top and bottom. Only three words can be used: “Sensitive”,	“Proprietary”, and “Public”. ~Y) (m=) Vv	Privacy	Labeling is the practice of annotating assets with classification markings. To what data does security need to be provided? ~Y) 7 (*) Vv conect Score Seconds	{{c1::Privacy}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-19.png
2 Data retention periods apply to which kind of data?	> “Proprietary”, and “Public”.	Which concept does this demonstrate?	> To what data does security need to be provi	Illegal	Illegal	All data needs some form of security; even data that is not sensitive (such as data intended for public view) needs protection to ensure availability. 2 Data retention periods apply to which kind of data?	{{c1::Illegal}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-23.png
Which of the following describes data that is left behind on systems/media after «@) 2	To what data does security need to be provided? ~Y) 7	Data retention periods apply to which kind of data? ®) 23	Medical	All data should have specific retention periods (even though retention periods may differ for various types of data).	To what data does security need to be provided? ~Y) 7	All data should have specific retention periods (even though retention periods may differ for various types of data).	{{c1::To what data does security need to be provided? ~Y) 7}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-26.png
Which of the following describes data that is left behind on systems/media after	What should be done when data has reached the end of the retention period? Y)	It should be archived	It should be destroyed	It should be enhanced	It should be enhanced	At the end of the retention period, data should be securely destroyed.	{{c1::It should be enhanced}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-29.png
> What should be done when data has reached the end of the retention period? Y) 26 (#) Vv	> What should be done when data has reached the end of the retention period? Y) 26 (#) Vv	Which of the following describes data that is left behind on systems/media after	2? normal deletion procedures have been attempted? ” ©	Data remanence is the term used to describe data left behind on systems/media after normal deletion procedures have been	> What should be done when data has reached the end of the retention period? Y) 26 (#) Vv	Data remanence is the term used to describe data left behind on systems/media after normal deletion procedures have been > Where should log data be kept? ~Y) 19 (%) Vv	{{c1::> What should be done when data has reached the end of the retention period? Y) 26 (#) Vv}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-33.png
Which of the following describes data that is left behind on systems/media after	Which of the following describes data that is left behind on systems/media after	2? normal deletion procedures have been attempted? ”	> Where should log data be kept? Y) 19 (=) Vv	In ait	On the device that the log data was captured from	Log data can often be useful in diagnosing or investigating the device it was captured from; it is therefore useful to store the data away from the device where it was harvested, in case something happens to the source device. > What should security controls on log data reflect? Y) 22 Vv Conect Score seconds	{{c1::On the device that the log data was captured from}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-35.png
> What should security controls on log data reflect?	> Where should log data be kept? Y) 19 (=) Vv	> What should security controls on log data reflect?	comet	The local culture where the log data is stored	> Where should log data be kept? Y) 19 (=) Vv	Log data should be protected with security as high, or higher, than the security level of the systems or devices that log was > How often should logs be reviewed? 16 25 lncowect Score seconds	{{c1::> Where should log data be kept? Y) 19 (=) Vv}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-38.png
Which technique/tool could Dieter use to assist in this effort?	D wee seu scuurny Cunuurs Un ey UaTETETTECE: zz Wy v	Every Thursday	Once per calendar year	Once per fiscal year	D wee seu scuurny Cunuurs Un ey UaTETETTECE: zz Wy v	Log review should happen continually, in order to ensure detection efforts are optimized. Dieter wants to send a message to Lupa and wants to be sure that Lupa knows the message has not been modified in transit. incorrect Score Seconds	{{c1::D wee seu scuurny Cunuurs Un ey UaTETETTECE: zz Wy v}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-42.png
Which technique/tool could Dieter use to assist in this effort?	D wee seu scuurny Cunuurs Un ey UaTETETTECE: zz 138	Dieter wants to send a message to Lupa and wants to be sure that Lupa knows the	Which technique/tool could Dieter use to assist in this effort?	Antivirus software	D wee seu scuurny Cunuurs Un ey UaTETETTECE: zz 138	Hashing is a means to provide an integrity check.	{{c1::D wee seu scuurny Cunuurs Un ey UaTETETTECE: zz 138}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-45.png
Which of the following is used to ensure that configuration management activities (s)	Triffid, Inc., wants to host streaming video files for the company's remote users,	but wants to ensure that the data is protected while it's streaming.	Which method is probably BEST for this purpose?	Asymmetric encryption	Triffid, Inc., wants to host streaming video files for the company's remote users,	Symmetric encryption offers confidentiality of data with the least amount of processing overhead, which makes it the preferred means of protecting streaming data. are effective and enforced? 7 incorrect Score Seconds	{{c1::Triffid, Inc., wants to host streaming video files for the company's remote users,}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-48.png
Which of the following is used to ensure that configuration management activities (s)	Triffid, Inc., wants to host streaming video files for the company's remote users,	but wants to ensure that the data is protected while it's streaming.	Which method is probably BEST for this purpose?	Asymmetric encryption	Triffid, Inc., wants to host streaming video files for the company's remote users,	Symmetric encryption offers confidentiality of data with the least amount of processing overhead, which makes it the preferred means of protecting streaming data. are effective and enforced? 7 incorrect Score Seconds	{{c1::Triffid, Inc., wants to host streaming video files for the company's remote users,}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-50.png
Which of the following is used to ensure that configuration management activities	Which method is probably BEST for this purpose?	Which of the following is used to ensure that configuration management activities	Verification and audit	Verification and audit are methods used to review the IT environment to ensure that configuration management activities have	Which method is probably BEST for this purpose?	Verification and audit are methods used to review the IT environment to ensure that configuration management activities have taken place and are achieving their intended purpose. > What must an organization always be prepared to do when applying a patch? Why is the proper alignment of security policy and business goals within the	{{c1::Which method is probably BEST for this purpose?}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-53.png
> What must an organization always be prepared to do when applying a patch? a) y	> What must an organization always be prepared to do when applying a patch? a) y	Buy a new system	Pay for the updated content	Q)_ Rollback	Settle lawsuits	Patches can sometimes cause unintended problems in the environment, so an organization must always be prepared to rollback the environment to the last known good state prior to when the patch was applied. Why is the proper alignment of security policy and business goals within the ? organization important? v incorrect Score seconds	{{c1::Settle lawsuits}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-57-57.png
> What is the MOST crucial element of any security instruction program? 9 Bly	Why is the proper alignment of security policy and business goals within the	Bad security policy can be illegal	Security is more important than business	Security policy that conflicts with business goals can inhibit productivity	Why is the proper alignment of security policy and business goals within the	Security is a support function in most organizations, not a business function; therefore, security policy must conform to business needs to avoid inhibiting productivity. An organization should keep on file a copy of every signed Acceptable Use Policy ? (AUP). To whom should a copy be issued? a v attempt taken Incorrect, Score	{{c1::Why is the proper alignment of security policy and business goals within the}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-58-00.png
Why is the proper alignment of security policy and business goals within the	Why is the proper alignment of security policy and business goals within the	An organization should keep on file a copy of every signed Acceptable Use Policy	The Public Relations office	The regulators overseeing that industry	Why is the proper alignment of security policy and business goals within the	The AUP is an agreement between the user and the organization, so both parties need to keep a copy of it.	{{c1::Why is the proper alignment of security policy and business goals within the}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-58-02.png
> What is the MOST crucial element of any security instruction program? ~Y) 9	An organization should keep on file a copy of every signed Acceptable Use Policy °	> What is the MOST crucial element of any security instruction program? ~Y) 9	Ensure availability of IT systems	Q Preserve health and human safety	Preserve shareholder value	This is the paramount rule in all security efforts. 2 Which one of the following is a benefit of computer-based training (CBT)?	{{c1::Preserve shareholder value}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-58-05.png
2 Which one of the following is a benefit of computer-based training (CBT)? Bw) UY	> What is the MOST crucial element of any security instruction program? () 9 By	Expensive	Interacting with other participants	Personal interaction with instructor	> What is the MOST crucial element of any security instruction program? () 9 By	CBT is completely scalable, because it can be replicated uniformly for any number of users. 2 Which of the following describes the output of a hashing algorithm? Y) BY . attempt taken S i ->__ Hashing is often used to provide what? QD (oo) n	{{c1::> What is the MOST crucial element of any security instruction program? () 9 By}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-58-07.png
Which one of the following is a benefit of computer-based training (CBT)?	> What is the MOST crucial element of any security instruction program?	Which one of the following is a benefit of computer-based training (CBT)?	Which of the following describes the output of a hashing algorithm?	It's different when the same input is used	> What is the MOST crucial element of any security instruction program?	Hashing algorithms create output of a fixed length. Hashing is often used to provide what?	{{c1::> What is the MOST crucial element of any security instruction program?}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-58-10.png
2 Which of the following describes the output of a hashing algorithm? 25	> Hashing is often used to provide what? 1	Availability	Confidentiality	Q Integrity	Value	Hashing is used for integrity checks. If two people want to use asymmetric communication to conduct a confidential conversation, how many keys do they need? lattempt taken Incorrect Score Seconds	{{c1::Value}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-58-12.png
	If two people want to use asymmetric communication to conduct a confidential	In asymmetric encryption, each party needs their own key pair (a public key and a private key) to engage in confidential			If two people want to use asymmetric communication to conduct a confidential	In asymmetric encryption, each party needs their own key pair (a public key and a private key) to engage in confidential	{{c1::If two people want to use asymmetric communication to conduct a confidential}}	CC ISC2 Cybersecurity	Screenshot from 2025-07-02 16-58-15.png
